2025-01-10T00:02:12.083+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : Starting MongodbAssignmentEvaluatorApplication using Java 21.0.5 with PID 19888 (C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator\target\classes started by Denis in C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator)
2025-01-10T00:02:12.086+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : No active profile set, falling back to 1 default profile: "default"
2025-01-10T00:02:13.310+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-10T00:02:13.314+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-10T00:02:13.580+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 254 ms. Found 5 JPA repository interfaces.
2025-01-10T00:25:45.825+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for jagosmar
2025-01-10T00:25:45.826+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kankaluk
2025-01-10T00:25:45.836+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:25:45.837+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:25:45.838+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'db'.
2025-01-10T00:25:45.858+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kankaluk
2025-01-10T00:25:45.861+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kankaluk has been evaluated
2025-01-10T00:25:45.864+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kankaluk
2025-01-10T00:25:45.870+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kaufmlu1
2025-01-10T00:25:45.890+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Invalid JSON input. Position: 118. Character: '*'.
2025-01-10T00:25:46.035+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kaufmlu1
2025-01-10T00:25:46.037+01:00 ERROR 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
2025-01-10T00:25:46.037+01:00 ERROR 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
2025-01-10T00:25:46.040+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kaufmlu1 has been evaluated
2025-01-10T00:25:46.047+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kaufmlu1
2025-01-10T00:25:46.048+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kolarj55
2025-01-10T00:25:46.061+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kolarj55
2025-01-10T00:25:46.063+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kolarj55 has been evaluated
2025-01-10T00:25:46.065+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kolarj55
2025-01-10T00:25:46.067+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of krausj13
2025-01-10T00:25:46.097+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of krausj13
2025-01-10T00:25:46.100+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of krausj13 has been evaluated
2025-01-10T00:25:46.104+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for krausj13
2025-01-10T00:25:46.105+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kulikvl1
2025-01-10T00:25:46.121+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kulikvl1
2025-01-10T00:25:46.123+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kulikvl1 has been evaluated
2025-01-10T00:25:46.126+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kulikvl1
2025-01-10T00:25:46.127+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kundrdom
2025-01-10T00:25:46.160+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kundrdom
2025-01-10T00:25:46.163+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kundrdom has been evaluated
2025-01-10T00:25:46.165+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kundrdom
2025-01-10T00:25:46.166+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kunstja2
2025-01-10T00:25:46.175+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'pastaItemIds'.
2025-01-10T00:25:46.187+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kunstja2
2025-01-10T00:25:46.189+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kunstja2 has been evaluated
2025-01-10T00:25:46.191+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kunstja2
2025-01-10T00:25:46.198+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of kvardro2
2025-01-10T00:25:46.218+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Invalid JSON input. Position: 118. Character: '*'.
2025-01-10T00:25:46.339+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of kvardro2
2025-01-10T00:25:46.340+01:00 ERROR 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
2025-01-10T00:25:46.341+01:00 ERROR 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.t.checker.bson.QueryMatcher  : Unsupported selector: $expr
2025-01-10T00:25:46.344+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of kvardro2 has been evaluated
2025-01-10T00:25:46.352+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for kvardro2
2025-01-10T00:25:46.353+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of lemakter
2025-01-10T00:25:46.370+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of lemakter
2025-01-10T00:25:46.372+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of lemakter has been evaluated
2025-01-10T00:25:46.375+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for lemakter
2025-01-10T00:25:46.376+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of liskaji8
2025-01-10T00:25:46.392+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of liskaji8
2025-01-10T00:25:46.394+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of liskaji8 has been evaluated
2025-01-10T00:25:46.398+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for liskaji8
2025-01-10T00:25:46.399+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of lokajva1
2025-01-10T00:25:46.403+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : JSON reader was expecting a value but found 'request1'.
2025-01-10T00:25:46.413+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of lokajva1
2025-01-10T00:25:46.415+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of lokajva1 has been evaluated
2025-01-10T00:25:46.417+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for lokajva1
2025-01-10T00:25:46.418+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of losinmar
2025-01-10T00:25:46.437+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of losinmar
2025-01-10T00:25:46.438+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of losinmar has been evaluated
2025-01-10T00:25:46.441+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for losinmar
2025-01-10T00:25:46.442+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of majerto4
2025-01-10T00:25:46.443+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Wasn't expecting a empty parameter
2025-01-10T00:25:46.455+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of majerto4
2025-01-10T00:25:46.456+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of majerto4 has been evaluated
2025-01-10T00:25:46.459+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for majerto4
2025-01-10T00:25:46.460+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of mezermat
2025-01-10T00:25:46.469+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of mezermat
2025-01-10T00:25:46.470+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'airports_daily_reports' doesn't exist. Query='db.airports_daily_reports.updateOne({ "_id": 2 },{ $set: { "departures.0.departure_time": "2024-10-02 11:00:00" } });'
2025-01-10T00:25:46.470+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of mezermat has been evaluated
2025-01-10T00:25:46.472+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for mezermat
2025-01-10T00:25:46.473+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of mickavo2
2025-01-10T00:25:46.530+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of mickavo2
2025-01-10T00:25:46.543+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Script of mickavo2 has been evaluated
2025-01-10T00:25:46.549+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully generated output for mickavo2
2025-01-10T00:25:46.551+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.application.AssignmentEvaluator  : Successfully read the script of moravp15
2025-01-10T00:25:46.574+01:00  INFO 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.e.text.StudentEvaluator        : Successfully parsed the script of moravp15
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.insertOne({ "_id": ObjectId(), "userId": "1", "createdAt": ISODate("2023-07-08T08:15:30Z"), "roles": ["administrator"], "premium": false, "locationSubscriptions": [1, 4], "adPersonalization": true, "preferences": { "language": "en", "notificationSettings": { "email": true, "sms": false, "push": true } }, "profileSettings": { "theme": "dark", "layout": "grid", }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.insertOne({ "_id": ObjectId(), "userId": "4", "createdAt": ISODate("2023-07-08T08:15:30Z"), "profileBannerColor": "pink", "premium": true, "maxDevices": 40, "adPersonalization": true, "preferences": { "language": "cz", "notificationSettings": { "email": true, "sms": false } }, "securitySettings": { "twoFactorAuth": true, "loginAlerts": false }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.insertMany([{ "_id": ObjectId(), "userId": "2", "createdAt": ISODate("2023-07-10T04:15:30Z"), "premium": true, "maxDevices": 40, "adPersonalization": false, "locationSubscriptions": [2, 3], "preferences": { "language": "de", "notificationSettings": { "email": false, "sms": true, "push": true } }, "roles": ["user"], "profileSettings": { "theme": "light", "layout": "list", } }{ "_id": ObjectId(), "userId": "3", "createdAt": ISODate("2023-07-11T08:15:30Z"), "premium": false, "adPersonalization": true, "preferences": { "language": "fr", "notificationSettings": { "email": true, "sms": true } }, "favoriteDevices": ["device_10", "device_22"], "roles": ["user", "tester"], "securitySettings": { "twoFactorAuth": false, "loginAlerts": true } }{ "_id": ObjectId(), "userId": "5", "createdAt": ISODate("2022-04-08T09:15:30Z"), "premium": true, "maxDevices": 40, "adPersonalization": false, "preferences": { "language": "en", "notificationSettings": { "email": true, "sms": false, "push": true } }, "roles": ["user"], "locationSubscriptions": [5], "profileSettings": { "theme": "dark", "layout": "grid", } }{ "_id": ObjectId(), "userId": "6", "createdAt": ISODate("2022-12-12T09:18:30Z"), "premium": false, "adPersonalization": true, "preferences": { "language": "en", "notificationSettings": { "email": false, "sms": false, "push": false } }, "roles": ["guest"], "securitySettings": { "twoFactorAuth": false, "loginAlerts": false } }{ "_id": ObjectId(), "userId": "7", "createdAt": ISODate("2022-04-08T10:15:30Z"), "premium": true, "maxDevices": 40, "adPersonalization": true, "preferences": { "language": "en", "notificationSettings": { "email": true, "sms": true, "push": false } }, "roles": ["user", "betaTester"], "favoriteDevices": ["device_15", "device_30"], "profileSettings": { "theme": "blue", "layout": "list", } }{ "_id": ObjectId(), "userId": "8", "createdAt": ISODate("2022-05-08T10:25:50Z"), "premium": false, "adPersonalization": false, "preferences": { "language": "ru", "notificationSettings": { "email": true, "sms": false } }, "roles": ["user"], "locationSubscriptions": [8, 9], "securitySettings": { "twoFactorAuth": true, "loginAlerts": true } }{ "_id": ObjectId(), "userId": "9", "createdAt": ISODate("2024-06-06T19:15:30Z"), "premium": true, "maxDevices": 40, "adPersonalization": true, "preferences": { "language": "de", "notificationSettings": { "email": false, "sms": false, "push": true } }, "roles": ["user", "moderator"], "favoriteDevices": ["device_42"], "profileSettings": { "theme": "minimal", "layout": "grid", } }{ "_id": ObjectId(), "userId": "10", "createdAt": ISODate("2023-01-01T11:12:30Z"), "premium": false, "adPersonalization": true, "preferences": { "language": "en", "notificationSettings": { "email": false, "sms": true, "push": true } }, "roles": ["guest"], "locationSubscriptions": [10], "securitySettings": { "twoFactorAuth": false, "loginAlerts": false } }]);'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:15:30Z"), "userId": "1", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 22, "new_temperature": 24, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:17:30Z"), "userId": "3", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 24, "new_temperature": 20, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:19:30Z"), "userId": "3", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 20, "new_temperature": 28, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:21:15Z"), "userId": "3", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 28, "new_temperature": 30, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:25:30Z"), "userId": "3", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 30, "new_temperature": 10, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:27:30Z"), "userId": "4", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 10, "new_temperature": 20, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:29:45Z"), "userId": "4", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 20, "new_temperature": 22, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T08:30:30Z"), "userId": "5", "deviceId": "device_100", "action": "adjust_temperature", "details": { "previous_temperature": 22, "new_temperature": 23, "unit": "Celsius", "method": "mobile_app" }});'
2025-01-10T00:25:46.575+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertOne({ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T09:00:00Z"), "userId": "4", "deviceId": "device_200", "action": "unlock", "details": { "location": "Main Entrance", "method": "keycard", "authentication_result": "success" }});'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.insertMany([{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T10:45:00Z"), "userId": "2", "deviceId": "device_300", "action": "view_feed", "details": { "location": "Parking Lot", "duration_seconds": 300, "access_level": "user" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T11:30:00Z"), "userId": "3", "deviceId": "device_400", "action": "set_schedule", "details": { "schedule": [ { "day": "Monday", "on_time": "18:00", "off_time": "23:00" }, { "day": "Tuesday", "on_time": "18:00", "off_time": "23:00" } ], "timezone": "UTC+1", "method": "web_app" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T11:30:00Z"), "userId": "3", "deviceId": "device_400", "action": "set_schedule", "details": { "schedule": [ { "day": "Sunday", "on_time": "18:00", "off_time": "23:00" }, { "day": "Tuesday", "on_time": "18:00", "off_time": "23:00" } ], "timezone": "UTC+1", "method": "web_app" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T11:30:00Z"), "userId": "3", "deviceId": "device_400", "action": "set_schedule", "details": { "schedule": [ { "day": "Saturday", "on_time": "18:00", "off_time": "23:00" }, { "day": "Sunday", "on_time": "18:00", "off_time": "23:00" } ], "timezone": "UTC+1", "method": "web_app" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T12:00:00Z"), "userId": "3", "deviceId": "device_500", "action": "turn_on", "details": { "location": "Conference Room", "previous_state": "off", "method": "voice_command", "voice_assistant": "Alexa" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T12:45:00Z"), "userId": "3", "deviceId": "device_600", "action": "lock", "details": { "location": "Server Room", "method": "manual_override", "authentication_result": "n/a" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T13:15:00Z"), "userId": "3", "deviceId": "device_700", "action": "adjust_lighting", "details": { "previous_brightness": 70, "new_brightness": 85, "color": "warm_white", "method": "mobile_app" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-10T05:00:00Z"), "userId": "8", "deviceId": "device_800", "action": "set_alarm", "details": { "alarm_time": "07:00", "recurring": true, "days": ["Monday", "Tuesday", "Wednesday", "Thursday", "Friday"], "method": "smart_watch" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-08T14:30:00Z"), "userId": "9", "deviceId": "device_900", "action": "configure_device", "details": { "configuration": { "mode": "eco", "sensitivity": "medium" }, "method": "web_portal" } }{ "_id": ObjectId(), "timestamp": ISODate("2024-10-09T15:00:00Z"), "userId": "10", "deviceId": "device_1000", "action": "reset_device", "details": { "reason": "factory_reset", "method": "hardware_button", "confirmation": true } }]);'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.replaceOne({ "userId": "1" },{ "userId": "1", "createdAt": ISODate("2023-07-08T08:15:30Z"), "roles": ["administrator"], "premium": false, "locationSubscriptions": [1, 4], "adPersonalization": false, "preferences": { "language": "en", "notificationSettings": { "email": true, "sms": true, "push": true } }, "profileSettings": { "theme": "dark", "layout": "grid", } },{ upsert: true });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "2"},{ $set: {"profileBannerColor": "blue"} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "8"},{ $set: {"favoriteDevices": ["device_15", "device_30"]} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "8"},{ $unset: {"favoriteDevices": ""} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateMany({"premium": true},{ $mul: {"maxDevices": 1.5} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "7"},{ $set: {"preferences.notificationSettings.sms": false} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "3"},{ $addToSet: {"favoriteDevices": "device_444"} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'users' doesn't exist. Query='db.users.updateOne({"userId": "3"},{ $pull: {"favoriteDevices": "device_444"} });'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.find({ $and: [ {userId: "3"}, {timestamp: {$gte: ISODate("2024-06-30T00:00:00Z")}} ], },{ userId: 0 }).forEach(printjson);'
2025-01-10T00:25:46.576+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.find({ "details.schedule": {$elemMatch: {$or: [{"day": "Saturday"}, {"day": "Sunday"}]}}}).forEach(printjson);'
2025-01-10T00:25:46.577+01:00  WARN 13668 --- [mongodb_assignment_evaluator] [main] c.c.f.m.a.model.log.ErrorCollector       : Collection 'userLogs' doesn't exist. Query='db.userLogs.find({ $and: [ {deviceId: "device_100"}, {timestamp: {$gte: ISODate("2024-06-30T00:00:00Z")}} ] },{userId: true, timestamp: true, _id: false}).forEach(printjson);'
